,Timestep,Status,Obj,P Feed In,P Feed Out,P Local Gen,P Local Dem,Q Feed In,Q Feed Out,Q Local Gen,Q Local Dem,FT,Lambda Feed,GT,Max Price Diff,Surplus,Spot,GenP[1],GenP[2],GenP[3],GenP[4],GenP[6],GenP[7],GenP[8],GenP[11],GenP[12],GenP[13],GenQ[1],GenQ[2],GenQ[3],GenQ[4],GenQ[6],GenQ[7],GenQ[8],GenQ[11],GenQ[12],GenQ[13],Balance N0,Balance N1,Balance N2,Balance N3,Balance N4,Balance N5,Balance N6,Balance N7,Balance N8,Balance N9,Balance N10,Balance N11,Balance N12,Balance N13,Balance N14,Balance N15
10,2013-11-01 10:00:00,optimal,-0.2739073533679509,0.004062098311714095,2.1613238825618742e-10,0.004164066905307998,0.008226165000000002,0.003585878125057916,0.00010351426137985057,0.0009049241363219331,0.004113082500000001,37.30989620276118,57.223352343394126,57.22335179723882,0,5.0911892757188326e-11,47.266624,0.00027474756449280037,0.00027474756449280037,0.00027474756449280037,0.00027474756449280037,0.00027474756449280037,0.0007867574542407198,0.00027474756449280037,0.00027474756449280037,0.001179329932339442,0.00027474756449280037,1.688310776870513e-05,1.688310776870513e-05,1.688310776870513e-05,1.688310776870513e-05,1.688310776870513e-05,0.0003062855590155636,1.688310776870513e-05,1.688310776870513e-05,0.00046357371515593393,1.688310776870513e-05,1.6538925281031644,-0.22694253290913494,-0.22694253290913494,-0.22694253290913494,-0.22694253290913494,-0.25820523557069297,-0.22694253290913494,0.5884945166298573,-0.22694253290913494,-0.25820523557069297,-0.25820523557069297,-0.22694253290913494,0.864179391854966,-0.22694253290913494,-0.25820523557069297,-0.25820523557069264
11,2013-11-01 11:00:00,optimal,-0.2383981397597376,0.0042018660180664505,-2.0939738271419656e-12,0.00400327647983093,0.008205142499999998,0.0034446936413326397,0.00016422425327372424,0.0010956066119410805,0.004102571249999999,27.336648202761182,47.2501037793995,47.25010379723882,0,-4.0838860071445993e-13,37.293376,0.0002477580013512551,0.0002477580013512551,0.0002477580013512551,0.0002477580013512551,0.0002477580013512551,0.0006783998655169785,0.0002477580013512551,0.0002477580013512551,0.0013428125988489293,0.0002477580013512551,7.592385109899931e-05,7.592385109899931e-05,7.592385109899931e-05,7.592385109899931e-05,7.592385109899931e-05,0.00018778852323810853,7.592385109899931e-05,7.592385109899931e-05,0.00030042727991149326,7.592385109899931e-05,1.852431133622877,-0.24108219727642896,-0.24108219727642896,-0.24108219727642896,-0.24108219727642896,-0.28405149117002076,-0.24108219727642896,0.5947027250361477,-0.24108219727642896,-0.28405149117002076,-0.28405149117002076,-0.24108219727642896,0.9017811708635456,-0.24108219727642896,-0.28405149117002076,-0.28405149117002026
12,2013-11-01 12:00:00,optimal,-0.28115673894877546,0.004901078723509256,9.135986265897873e-12,0.003718971285664159,0.00862005,0.0037678838840954918,8.271982160074746e-05,0.0009121959375052558,0.004310025,29.89761013556118,49.81106574726531,49.81106573003882,0,1.8642552779279953e-12,39.8543379328,0.00023676074018167745,0.00023676074018167745,0.00023676074018167745,0.00023676074018167745,0.00023676074018167745,0.0007480776343492592,0.00023676074018167745,0.00023676074018167745,0.0010768077526826583,0.00023676074018167745,3.936261615071763e-05,3.936261615071763e-05,3.936261615071763e-05,3.936261615071763e-05,3.936261615071763e-05,0.000264609372847255,3.936261615071763e-05,3.936261615071763e-05,0.00033268563545218885,3.936261615071763e-05,2.0965590876970466,-0.2579138176338492,-0.2579138176338492,-0.2579138176338492,-0.2579138176338492,-0.31267641655035094,-0.2579138176338492,0.6033403441117964,-0.2579138176338492,-0.31267641655035094,-0.31267641655035094,-0.2579138176338492,0.9267931874766056,-0.2579138176338492,-0.31267641655035094,-0.3126764165503516
13,2013-11-01 13:00:00,optimal,-0.441343379014311,0.005396102375453293,2.9065153184250165e-09,0.002849220543035844,0.008245319999999997,0.0035727221472869036,3.773708193727624e-05,0.0008625189346504097,0.0041226599999999985,56.61856723636118,76.53201453888596,76.53202283083883,0,9.163805270162584e-10,66.5752950336,0.00015543102657505643,0.00015543102657505643,0.00015543102657505643,0.00015543102657505643,0.00015543102657505643,0.0007658709873421127,0.00015543102657505643,0.00015543102657505643,0.0008399047118611441,0.00015543102657505643,3.228985127547019e-05,3.228985127547019e-05,3.228985127547019e-05,3.228985127547019e-05,3.228985127547019e-05,0.00028816196061077175,3.228985127547019e-05,3.228985127547019e-05,0.00031603816385963364,3.228985127547019e-05,2.5095334507070826,-0.28808709805606414,-0.28808709805606414,-0.28808709805606414,-0.28808709805606414,-0.3547451981219197,-0.28808709805606414,0.6198852636421227,-0.28808709805606414,-0.3547451981219197,-0.3547451981219197,-0.28808709805606414,0.9490040570881904,-0.28808709805606414,-0.3547451981219197,-0.3547451981219235
14,2013-11-01 14:00:00,optimal,-0.5970946445186213,0.006557704150169821,-1.426581305112322e-08,0.002491901525297011,0.009049620000000001,0.003982883500680227,3.31966412419961e-05,0.0008767771405627154,0.004524810000000001,67.35527220276117,87.26853674117854,87.26872779723882,0,-5.124418729629543e-09,77.312,8.879382185589654e-05,8.879382185589654e-05,8.879382185589654e-05,8.879382185589654e-05,8.879382185589654e-05,0.000842737248079146,8.879382185589654e-05,8.879382185589654e-05,0.0009387780897841177,8.879382185589654e-05,2.0779506245258417e-05,2.0779506245258417e-05,2.0779506245258417e-05,2.0779506245258417e-05,2.0779506245258417e-05,0.0003382987406923318,2.0779506245258417e-05,2.0779506245258417e-05,0.0003722423504810792,2.0779506245258417e-05,3.081815941230587,-0.3329879975152901,-0.3329879975152901,-0.3329879975152901,-0.3329879975152901,-0.40739438291450225,-0.3329879975152901,0.6407799037750304,-0.3329879975152901,-0.40739438291450225,-0.40739438291450225,-0.3329879975152901,0.978280040944082,-0.3329879975152901,-0.40739438291450225,-0.40739438291450797
15,2013-11-01 15:00:00,optimal,-0.7922500278291136,0.007967815418427842,4.308163262888267e-12,0.0024711945858981914,0.010439010000000004,0.004490212392519916,4.1390645712774626e-05,0.0011186502531928596,0.005219505000000002,76.42976723636117,96.34322284625658,96.34322283083883,0,1.7215256997715755e-12,86.3864950336,1.4213873629064332e-05,1.4213873629064332e-05,1.4213873629064332e-05,1.4213873629064332e-05,1.4213873629064332e-05,0.0011302402154839807,1.4213873629064332e-05,1.4213873629064332e-05,0.0012272433921507008,1.4213873629064332e-05,3.4196217119439538e-06,3.4196217119439538e-06,3.4196217119439538e-06,3.4196217119439538e-06,3.4196217119439538e-06,0.00052851168383056,3.4196217119439538e-06,3.4196217119439538e-06,0.0005627815956667617,3.4196217119439538e-06,3.8494609572709573,-0.3986671115690234,-0.3986671115690234,-0.3986671115690234,-0.3986671115690234,-0.47444290757029306,-0.3986671115690234,0.6826223642769178,-0.3986671115690234,-0.47444290757029306,-0.47444290757029306,-0.3986671115690234,1.0294681001123662,-0.3986671115690234,-0.47444290757029306,-0.474442907570299
16,2013-11-01 16:00:00,optimal,-1.130376390540455,0.00931047576598324,-2.6793040023970773e-09,0.0029435690436637758,0.0122540474999985,0.005112363970587561,1.5070847696020923e-05,0.0014381988771077889,0.00612702374999925,98.34772020276117,118.26048324063095,118.26117579723882,0,-1.3064802434348266e-09,108.304448,2.043290049375069e-07,2.043290049375069e-07,2.043290049375069e-07,2.043290049375069e-07,2.043290049375069e-07,0.0013464939907273416,2.043290049375069e-07,2.043290049375069e-07,0.001595433722404361,2.043290049375069e-07,1.2880885466557354e-08,1.2880885466557354e-08,1.2880885466557354e-08,1.2880885466557354e-08,1.2880885466557354e-08,0.0006511618055298711,1.2880885466557354e-08,1.2880885466557354e-08,0.0007869340245726253,1.2880885466557354e-08,4.950522637412105,-0.49525425278905727,-0.49525425278905727,-0.49525425278905727,-0.49525425278905727,-0.5710540544037972,-0.49525425278905727,0.7452480890340409,-0.49525425278905727,-0.5710540544037972,-0.5710540544037972,-0.49525425278905727,1.1215335578354066,-0.49525425278905727,-0.5710540544037972,-0.5710540544038034
17,2013-11-01 17:00:00,optimal,-1.3293802947797,0.009920934161559087,7.026790290784347e-15,0.0028728283384478774,0.012793762499999996,0.005414999319645867,1.227042248564234e-05,0.0014206111028381367,0.006396881249999998,111.20084310196117,131.1142986964249,131.11429869643882,0,-8.31279489688086e-15,121.1575708992,-3.431012911914478e-15,-3.431012911914478e-15,-3.431012911914478e-15,-3.431012911914478e-15,-3.431012911914478e-15,0.0013438195742480855,-3.431012911914478e-15,-3.431012911914478e-15,0.0015290087642444094,-3.431012911914478e-15,1.9846821076005556e-13,1.9846821076005556e-13,1.9846821076005556e-13,1.9846821076005556e-13,1.9846821076005556e-13,0.0006644587435006618,1.9846821076005556e-13,1.9846821076005556e-13,0.0007561523567573886,1.9846821076005556e-13,6.251298962417407,-0.6070839326479152,-0.6070839326479152,-0.6070839326479152,-0.6070839326479152,-0.682883734262655,-0.6070839326479152,0.8096123702276989,-0.6070839326479152,-0.682883734262655,-0.682883734262655,-0.6070839326479152,1.2101787898015917,-0.6070839326479152,-0.682883734262655,-0.6828837342626631
18,2013-11-01 18:00:00,optimal,-1.2157292734030138,0.011045674134078988,-2.084322145236922e-15,0.0016163433659190378,0.012662017499999996,0.006019925403953645,2.2997717056659472e-05,0.000756148313101115,0.006331008749999998,88.69338613556117,108.606841730024,108.60684173003882,0,1.1837753000065732e-14,98.6501139328,1.1099439708610154e-15,1.1099439708610154e-15,1.1099439708610154e-15,1.1099439708610154e-15,1.1099439708610154e-15,0.0007651861058716931,1.1099439708610154e-15,1.1099439708610154e-15,0.0008511572600329163,1.1099439708610154e-15,2.2973959751345177e-13,2.2973959751345177e-13,2.2973959751345177e-13,2.2973959751345177e-13,2.2973959751345177e-13,0.00035595296145204806,2.2973959751345177e-13,2.2973959751345177e-13,0.0004001953486624516,2.2973959751345177e-13,7.45093474489897,-0.6987627146881475,-0.6987627146881475,-0.6987627146881475,-0.6987627146881475,-0.7745625163028874,-0.6987627146881475,0.8010380344817664,-0.6987627146881475,-0.7745625163028874,-0.7745625163028874,-0.6987627146881475,1.2109415095889946,-0.6987627146881475,-0.7745625163028874,-0.7745625163028956
19,2013-11-01 19:00:00,optimal,-0.9802640909231424,0.01063017623119474,-7.7012398194123e-12,0.0009579687610717044,0.011588145000000001,0.00589862042220797,4.455708683341539e-05,0.00032628066462651244,0.0057940725000000005,71.40449013556119,91.31794572642075,91.31794573003884,0,-2.951042188392705e-12,81.36121793280002,3.827843645348683e-12,3.827843645348683e-12,3.827843645348683e-12,3.827843645348683e-12,3.827843645348683e-12,0.0003031616884005256,3.827843645348683e-12,3.827843645348683e-12,0.0006548070229091256,3.827843645348683e-12,-1.2947618248524575e-13,-1.2947618248524575e-13,-1.2947618248524575e-13,-1.2947618248524575e-13,-1.2947618248524575e-13,5.7719650607995485e-05,-1.2947618248524575e-13,-1.2947618248524575e-13,0.0002685610157017071,-1.2947618248524575e-13,8.42166060174476,-0.769309754083923,-0.769309754083923,-0.769309754083923,-0.769309754083923,-0.8451095556986629,-0.769309754083923,0.7581750973441294,-0.769309754083923,-0.8451095556986629,-0.8451095556986629,-0.769309754083923,1.200190102022963,-0.769309754083923,-0.8451095556986629,-0.8451095556986632
20,2013-11-01 20:00:00,optimal,-0.8068655118076238,0.0101002936924998,3.3245067481984166e-16,0.0006763513074990572,0.010776644999998503,0.005663301336150452,0.00015133735174037815,0.0002355800155892722,0.005388322499999251,59.30515826996119,79.21861386443916,79.21861386443884,0,2.2273849431542203e-15,69.26188606720001,-1.8064886753413166e-16,-1.8064886753413166e-16,-1.8064886753413166e-16,-1.8064886753413166e-16,-1.8064886753413166e-16,0.00010595466833388687,-1.8064886753413166e-16,-1.8064886753413166e-16,0.0005703966391674645,-1.8064886753413166e-16,-1.7380232633333128e-14,-1.7380232633333128e-14,-1.7380232633333128e-14,-1.7380232633333128e-14,-1.7380232633333128e-14,2.2994797311031136e-05,-1.7380232633333128e-14,-1.7380232633333128e-14,0.0002125852185041843,-1.7380232633333128e-14,9.221791867688307,-0.8262238126845386,-0.8262238126845386,-0.8262238126845386,-0.8262238126845386,-0.9020236142992785,-0.8262238126845386,0.709654620701405,-0.8262238126845386,-0.9020236142992785,-0.9020236142992785,-0.8262238126845386,1.1884620745301429,-0.8262238126845386,-0.9020236142992785,-0.9020236142992746
21,2013-11-01 21:00:00,optimal,-0.7067497600040358,0.009107077745410443,2.6159551157685184e-11,0.00037983728085682635,0.009486915000000002,0.005015564191103016,8.952712708878115e-05,0.00013365093598583278,0.004743457500000001,57.27572020276117,77.18917557551319,77.18917579723882,0,8.314418598054374e-12,67.23244799999999,-1.307605386525846e-11,-1.307605386525846e-11,-1.307605386525846e-11,-1.307605386525846e-11,-1.307605386525846e-11,2.3164657412574107e-05,-1.307605386525846e-11,-1.307605386525846e-11,0.000356672793432959,-1.307605386525846e-11,-8.212446063975429e-15,-8.212446063975429e-15,-8.212446063975429e-15,-8.212446063975429e-15,-8.212446063975429e-15,5.227637835994075e-06,-8.212446063975429e-15,-8.212446063975429e-15,0.00012842329825660145,-8.212446063975429e-15,9.924759688739409,-0.8750429568675331,-0.8750429568675331,-0.8750429568675331,-0.8750429568675331,-0.950842758482273,-0.8750429568675331,0.6626235383359061,-0.8750429568675331,-0.950842758482273,-0.950842758482273,-0.8750429568675331,1.1671742102317837,-0.8750429568675331,-0.950842758482273,-0.9508427584822695
22,2013-11-01 22:00:00,optimal,-0.2796135987039101,0.007523462034645199,-6.233749173151488e-12,0.00032482295909531955,0.007848285,0.006152654685480142,0.002051026389061963,8.41237035819064e-05,0.0039241425,16.82221523636118,36.73567091602588,36.73567083083882,0,-9.453791915969845e-13,26.7789430336,3.0072392526318843e-12,3.0072392526318843e-12,3.0072392526318843e-12,3.0072392526318843e-12,3.0072392526318843e-12,2.7008831918609243e-05,3.0072392526318843e-12,3.0072392526318843e-12,0.0002978140880825994,3.0072392526318843e-12,-1.0718334769902089e-14,-1.0718334769902089e-14,-1.0718334769902089e-14,-1.0718334769902089e-14,-1.0718334769902089e-14,5.326891868654635e-06,-1.0718334769902089e-14,-1.0718334769902089e-14,7.879681185258999e-05,-1.0718334769902089e-14,10.20113911442235,-0.8942637577580723,-0.8942637577580723,-0.8942637577580723,-0.8942637577580723,-0.9700635593728122,-0.8942637577580723,0.6443949248960823,-0.8942637577580723,-0.9700635593728122,-0.9700635593728122,-0.8942637577580723,1.1588938095647303,-0.8942637577580723,-0.9700635593728122,-0.9700635593728086
23,2013-11-01 23:00:00,optimal,-0.3382380308959775,0.005304308048369544,-4.50187658684046e-15,0.00039169445162600736,0.005696002499999999,0.0031055476868642974,0.00016639536191662122,9.8715675052601e-05,0.0028480012499999996,43.11795826996118,63.031413864441134,63.03141386443882,0,3.4486302702418925e-15,53.0746860672,2.2557847371713e-15,2.2557847371713e-15,2.2557847371713e-15,2.2557847371713e-15,2.2557847371713e-15,0.00013736932832470074,2.2557847371713e-15,2.2557847371713e-15,0.0002543251232719814,2.2557847371713e-15,-3.3727321333832564e-14,-3.3727321333832564e-14,-3.3727321333832564e-14,-3.3727321333832564e-14,-3.3727321333832564e-14,2.1277587546621178e-05,-3.3727321333832564e-14,-3.3727321333832564e-14,7.743808794443499e-05,-3.3727321333832564e-14,10.535477150283901,-0.9181988971546229,-0.9181988971546229,-0.9181988971546229,-0.9181988971546229,-0.9939986987693628,-0.9181988971546229,0.629118368485304,-0.9181988971546229,-0.9939986987693628,-0.9939986987693628,-0.9181988971546229,1.1509891422691187,-0.9181988971546229,-0.9939986987693628,-0.9939986987693592
